Tuli	tuli	0		S	sg n
ühte	ühte	0		D	
    	üks	0		N	adt
    	üks	0		P	adt
    	ühe	0		S	sg g
    	@üks	0		N	sg p
    	üks	0		P	sg p
palki	palk	0		S	adt
     	@palk	0		S	sg p
ei	ei	0		D	
  	@ei	0		V	neg
olevad	olev	d		A	pl n
      	olev	d		S	pl n
	£ole	vad		V	vat
varastanud	@varasta	nud		V	nud
          	varasta=nu	d		S	pl n
          	varasta=nud	0		A	
          	varasta=nud	0		A	sg n
          	varasta=nud	d		A	pl n
.	.			Z	
Tõnis	Tõnis	0		H	sg n
Park	park	0		S	sg n
	£Park	0		H	sg n
nimetas	nimeta	s		V	s
siin	@siin	0		D	
    	siin	0		S	sg n
,	,			Z	
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
küll	@küll	0		D	
    	küll	0		S	sg n
ühe	@üks	0		N	sg g
   	üks	0		P	sg g
   	ühe	0		S	sg n
palgi	palk	0		S	sg g
mõisa	mõis	0		S	sg g
metsast	@mets	st		S	sg el
       	metsane	t		A	sg p
varastanud	@varasta	nud		V	nud
          	varasta=nu	d		S	pl n
          	varasta=nud	0		A	
          	varasta=nud	0		A	sg n
          	varasta=nud	d		A	pl n
mis	mis	0		P	pl n
   	@mis	0		P	sg n
arvata	@arva	ta		V	da
      	arva	ta		V	ta
      	arvata	0		D	
3	3	0		N	?
sülda	süld	0		S	adt
     	@süld	0		S	sg p
pikk	pikk	0		A	sg n
ja	ja	0		J	
15	15	0		N	?
tolli	toll	0		S	adt
     	toll	0		S	sg g
     	tolli	0		V	o
     	@toll	0		S	sg p
jäme	jäme	0		A	sg n
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
ja	ja	0		J	
2	2	0		N	?
pakku	pakk	0		S	adt
     	@pakk	0		S	sg p
kummagid	####				
	#kumbki	d	gid	P	sg p
poole	pool	0		N	sg g
     	pool	0		S	sg g
     	pool	e		S	pl p
     	@poole	0		K	
     	poole	0		S	sg n
sülla	süld	0		S	sg g
pikkused	@pikkune	d		A	pl n
        	pikkus	d		S	pl n
.	.			Z	
Et	et	0		J	
mõisa	mõis	0		S	sg g
metsa	mets	0		S	adt
     	@mets	0		S	sg g
     	mets	0		S	sg p
vaht	vaht	0		S	sg n
ja	ja	0		J	
teisi	@teine	0		O	pl p
     	teine	0		P	pl p
tunnistajaid	tunnistaja	id		S	pl p
veel	@veel	0		D	
    	vesi	l		S	sg ad
puudus	puudu	s		V	s
      	puudus	0		S	sg n
	£puudu	0		D	
oli	ole	i		V	s
sai	@saa	i		V	s
   	sai	0		S	sg n
mõistetud	@mõist	tud		V	tud
         	mõiste=tu	d		S	pl n
         	mõiste=tud	0		A	
         	mõiste=tud	0		A	sg n
         	mõiste=tud	d		A	pl n
,	,			Z	
seda	see	da		P	sg p
asja	asi	0		S	adt
    	asi	0		S	sg g
    	@asi	0		S	sg p
pooleli	pooleli	0		D	
jätta	jät	a		V	da
,	,			Z	
ja	ja	0		J	
teisel	teine	l		O	sg ad
      	@teine	l		P	sg ad
kohto	####				
	#kohus	0		S	sg g
päeval	päev	l		S	sg ad
jälle	jälle	0		D	
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
tellida	telli	da		V	da
.	.			Z	
Sel	@see	l		P	sg ad
   	sel	0		Y	?
20.	20.	0		O	?
detsembril	detsember	l		S	sg ad
.	.			Z	
Juures	juur	s		S	sg in
      	@juures	0		D	
      	juures	0		K	
olid	ole	id		V	sid
:	:			Z	
peakohtomees	####				
	#pea_kohtu_mees	0		S	sg n
H.	H.	0		Y	?
Lukk	lukk	0		S	sg n
	£Lukk	0		H	sg n
Abi	abi	0		S	sg g
   	@abi	0		S	sg n
   	abi	0		S	sg p
kohtomees	####				
	#kohtu_mees	0		S	sg n
J.	J.	0		Y	?
Laosson	####				
	#Laosson	0		H	sg n
Abi	abi	0		S	sg g
   	@abi	0		S	sg n
   	abi	0		S	sg p
Joh	####				
	#Joh	0		Y	?
.	.			Z	
Tassak	####				
	#Tassak	0		H	sg n
Tellimise	tellimine	0		S	sg g
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
olid	ole	id		V	sid
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
tulnud	tul=nud	0		A	
      	tul=nud	0		A	sg n
      	tul=nud	d		A	pl n
      	@tule	nud		V	nud
      	tulnu	d		S	pl n
,	,			Z	
Uue	uus	0		A	sg g
	£Uue	0		H	sg g
Suislepa	####				
	#Suislepa	0		H	sg g
mõisa	mõis	0		S	sg g
valitsus	valitsus	0		S	sg n
,	,			Z	
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Murro	####				
	#Murro	0		H	sg n
,	,			Z	
Tõnis	Tõnis	0		H	sg n
Park	park	0		S	sg n
	£Park	0		H	sg n
,	,			Z	
mõisametsavaht	mõisa_metsa_vaht	0		S	sg n
Peet	@Peet	0		H	sg n
    	peet	0		S	sg n
Reichenberg	####				
	#Reichenberg	0		H	sg n
,	,			Z	
ja	ja	0		J	
kohtomees	####				
	#kohtu_mees	0		S	sg n
Hans	Hans	0		H	sg n
Laosson	####				
	#Laosson	0		H	sg n
ning	ning	0		J	
endine	endine	0		A	sg n
kohto	####				
	#kohus	0		S	sg g
liige	liige	0		S	sg n
Hans	Hans	0		H	sg n
Märtson	####				
	#Märtson	0		H	sg n
,	,			Z	
ja	ja	0		J	
andis	and	is		V	s
P.	P.	0		Y	?
Reichenberg	####				
	#Reichenberg	0		H	sg n
siin	@siin	0		D	
    	siin	0		S	sg n
üles	üles	0		D	
oma	oma	0		A	sg g
   	oma	0		D	
   	@oma	0		P	sg g
   	oma	0		S	sg g
   	oma	0		V	o
   	oma	0		A	sg n
   	oma	0		A	sg p
   	oma	0		P	sg n
   	oma	0		P	sg p
   	oma	0		S	sg n
   	oma	0		S	sg p
ameti	amet	0		S	sg g
vande	vanne	0		S	sg g
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
,	,			Z	
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
teadmise	teadmine	0		S	sg g
ja	ja	0		J	
leidmise	leidmine	0		S	sg g
järele	järele	0		D	
      	@järele	0		K	
mõisa	mõis	0		S	sg g
metsast	@mets	st		S	sg el
       	metsane	t		A	sg p
aga	aga	0		J	
sel	@see	l		P	sg ad
   	sel	0		Y	?
kõrral	####				
	#kord	l		S	sg ad
1	1	0		N	?
palk	@palk	0		S	sg n
    	palk	0		S	sg n
mis	mis	0		P	pl n
   	@mis	0		P	sg n
lõikamise	lõikamine	0		S	sg g
järele	järele	0		D	
      	@järele	0		K	
11	11	0		N	?
jalga	jalg	0		S	adt
     	@jalg	0		S	sg p
     	jalga	0		D	
pikk	pikk	0		A	sg n
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
ja	ja	0		J	
kaks	kaks	0		N	sg n
palgi	palk	0		S	sg g
lukki	####				
	#lukk	0		S	sg p
üks	@üks	0		N	sg n
   	üks	0		P	sg n
neist	@see	st		P	pl el
     	tema	st		P	pl el
38	38	0		N	?
tolli	toll	0		S	adt
     	toll	0		S	sg g
     	tolli	0		V	o
     	@toll	0		S	sg p
ja	ja	0		J	
teine	teine	0		O	sg n
     	@teine	0		P	sg n
43	43	0		N	?
tolli	toll	0		S	adt
     	toll	0		S	sg g
     	tolli	0		V	o
     	@toll	0		S	sg p
pikad	pikk	d		A	pl n
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
ära	@ära	0		D	
   	ära	0		V	neg o
varastud	####				
	#varasta	tud		V	tud
saanud	@saa	nud		V	nud
      	saa=nud	0		A	
      	saa=nud	0		A	sg n
      	saa=nud	d		A	pl n
      	saanu	d		S	pl n
.	.			Z	
Hans	Hans	0		H	sg n
Laosson	####				
	#Laosson	0		H	sg n
,	,			Z	
kohtomees	####				
	#kohtu_mees	0		S	sg n
,	,			Z	
andis	and	is		V	s
siin	@siin	0		D	
    	siin	0		S	sg n
üles	üles	0		D	
,	,			Z	
et	et	0		J	
sel	@see	l		P	sg ad
   	sel	0		Y	?
kõrral	####				
	#kord	l		S	sg ad
,	,			Z	
kui	kui	0		D	
   	@kui	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
oma	oma	0		A	sg g
   	oma	0		D	
   	@oma	0		P	sg g
   	oma	0		S	sg g
   	oma	0		V	o
   	oma	0		A	sg n
   	oma	0		A	sg p
   	oma	0		P	sg n
   	oma	0		P	sg p
   	oma	0		S	sg n
   	oma	0		S	sg p
ameti	amet	0		S	sg g
nimel	@nimel	0		K	
     	nimi	l		S	sg ad
neid	neid	0		S	sg n
    	@see	d		P	pl p
    	tema	d		P	pl p
palke	palk	e		S	pl p
üle	@üle	0		D	
   	üle	0		K	
vaatamas	vaata	mas		V	mas
käinud	@käi	nud		V	nud
      	käi=nud	0		A	
      	käi=nud	0		A	sg n
      	käi=nud	d		A	pl n
      	käinu	d		S	pl n
,	,			Z	
nende	@see	de		P	pl g
     	tema	de		P	pl g
otsad	@ots	d		S	pl n
     	otsa	d		V	d
keik	####				
	#kõik	0		P	pl n
ära	@ära	0		D	
   	ära	0		V	neg o
jooksnud	@jooks	nud		V	nud
        	jooks=nu	d		S	pl n
        	jooks=nud	0		A	
        	jooks=nud	0		A	sg n
        	jooks=nud	d		A	pl n
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
ja	ja	0		J	
2	2	0		N	?
otsa	ots	0		S	adt
    	ots	0		S	sg g
    	otsa	0		D	
    	otsa	0		K	
    	otsa	0		V	o
    	@ots	0		S	sg p
tare	@tare	0		S	sg g
    	tare	0		S	sg n
peal	pea	l		S	sg ad
    	peal	0		D	
    	@peal	0		K	
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
mis	@mis	0		P	pl n
   	mis	0		P	sg n
nende	@see	de		P	pl g
     	tema	de		P	pl g
palkega	####				
	#palk	ega		S	pl kom
ühte	@ühte	0		D	
    	üks	0		N	adt
    	üks	0		P	adt
    	ühe	0		S	sg g
    	üks	0		N	sg p
    	üks	0		P	sg p
passinud	@passi	nud		V	nud
        	passi=nu	d		S	pl n
        	passi=nud	0		A	
        	passi=nud	0		A	sg n
        	passi=nud	d		A	pl n
.	.			Z	
Hans	Hans	0		H	sg n
Märtson	####				
	#Märtson	0		H	sg n
,	,			Z	
kui	kui	0		D	
   	@kui	0		J	
tunnistaja	tunnistaja	0		S	sg g
          	@tunnistaja	0		S	sg n
andis	and	is		V	s
nendasama	####				
	#nõnda_sama	0		D	
siin	@siin	0		D	
    	siin	0		S	sg n
üles	üles	0		D	
,	,			Z	
kui	kui	0		D	
   	@kui	0		J	
Hans	Hans	0		H	sg n
Laosson	####				
	#Laosson	0		H	sg n
.	.			Z	
Kohto	####				
	#kohus	0		S	sg g
nõudmise	nõudmine	0		S	sg g
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
ei	ei	0		D	
  	@ei	0		V	neg
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
kaebajal	kaebaja	l		S	sg ad
mõisa	mõis	0		S	sg g
valitsusel	valitsus	l		S	sg ad
siia	@siia	0		D	
    	siig	0		S	sg g
enam	enam	0		C	sg n
    	@enam	0		D	
midagi	miski	dagi		P	sg p
tõestegemise	tõe+s_tegemine	0		S	sg g
	£tõeks_tegemine	0		S	sg g
asju	asi	u		S	pl p
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
tuua	too	a		V	da
,	,			Z	
et	et	0		J	
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Murro	####				
	#Murro	0		H	sg n
need	see	d		P	pl n
tema	@tema	0		P	sg g
    	tema	0		P	sg n
juures	juur	s		S	sg in
      	juures	0		D	
      	@juures	0		K	
leitud	@leid	tud		V	tud
      	leitu	d		S	pl n
      	leitud	0		A	
      	leitud	0		A	sg n
      	leitud	d		A	pl n
palgid	palk	d		S	pl n
mõisa	mõis	0		S	sg g
metsast	@mets	st		S	sg el
       	metsane	t		A	sg p
varastanud	@varasta	nud		V	nud
          	varasta=nu	d		S	pl n
          	varasta=nud	0		A	
          	varasta=nud	0		A	sg n
          	varasta=nud	d		A	pl n
,	,			Z	
siis	siis	0		D	
    	@siis	0		J	
said	saa	id		V	sid
kohto	####				
	#kohus	0		S	sg g
käiad	käi	d		S	pl n
     	käia	d		V	d
	£käija	d		S	pl n
siit	siit	0		D	
välja	@välja	0		D	
     	välja	0		V	o
     	väli	0		S	adt
     	väli	0		S	sg g
     	väli	0		S	sg p
minna	mine	a		V	da
lastud	las=tu	d		S	pl n
      	las=tud	0		A	
      	las=tud	0		A	sg n
      	las=tud	d		A	pl n
      	@lask	tud		V	tud
,	,			Z	
ning	ning	0		J	
ühendasid	ühenda	sid		V	sid
endid	ise	d		P	pl p
keik	####				
	#kõik	0		P	pl n
selle	@see	0		P	sg g
     	sell	e		S	pl p
kohto	####				
	#kohus	0		S	sg g
koos	@koos	0		D	
    	koos	0		K	
    	koos	0		S	sg n
    	kubu	s		S	sg in
olevad	@olev	d		A	pl n
      	olev	d		S	pl n
liikmed	liige	d		S	pl n
selle	@see	0		P	sg g
     	sell	e		S	pl p
otsuse	otsus	0		S	sg g
andmisele	andmine	le		S	sg all
:	:			Z	
""""	""""			Z	
et	et	0		J	
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Murro	####				
	#Murro	0		H	sg n
selle	@see	0		P	sg g
     	sell	e		S	pl p
tema	@tema	0		P	sg g
    	tema	0		P	sg n
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
tõstetud	@tõst	tud		V	tud
        	tõste=tu	d		S	pl n
        	tõste=tud	0		A	
        	tõste=tud	0		A	sg n
        	tõste=tud	d		A	pl n
mõisa	mõis	0		S	sg g
metsa	mets	0		S	adt
     	@mets	0		S	sg g
     	mets	0		S	sg p
varguse	vargus	0		S	sg g
süist	####				
	#süü	st		S	sg el
keigelt	####				
	#kõik	lt		P	sg abl
poolt	pool	t		N	sg p
     	pool	t		S	sg p
     	@poolt	0		D	
     	poolt	0		K	
priiks	prii	ks		A	sg tr
ja	ja	0		J	
kaebaja	kaebaja	0		S	sg g
       	@kaebaja	0		S	sg n
mõisa	mõis	0		S	sg g
valitsuse	valitsus	0		S	sg g
nõudmine	nõudmine	0		S	sg n
puuduliko	####				
	#puudulik	0		A	sg g
nõudmise	nõudmine	0		S	sg g
põhja	põhja	0		V	o
     	põhi	0		S	adt
     	@põhi	0		S	sg g
     	põhi	0		S	sg p
pärast	pära	st		S	sg el
      	pärane	t		A	sg p
      	pärast	0		D	
      	@pärast	0		K	
J.	J.	0		Y	?
Murro	####				
	#Murro	0		H	sg g
vasto	####				
	#vastu	0		K	
,	,			Z	
keigelt	####				
	#kõik	lt		P	sg abl
poolt	pool	t		N	sg p
     	pool	t		S	sg p
     	@poolt	0		D	
     	poolt	0		K	
tühjaks	tühi	ks		A	sg tr
,	,			Z	
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Murro	####				
	#Murro	0		H	sg g
sulane	@sulane	0		S	sg n
      	sulane	0		V	o
Tõnis	Tõnis	0		H	sg n
Park	park	0		S	sg n
	£Park	0		H	sg n
aga	aga	0		J	
ise	ise	0		A	
   	ise	0		D	
   	ise	0		P	pl n
   	@ise	0		P	sg n
enese	ise	0		P	sg g
tunnistuse	tunnistus	0		S	sg g
põhja	põhja	0		V	o
     	põhi	0		S	adt
     	@põhi	0		S	sg g
     	põhi	0		S	sg p
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
selle	@see	0		P	sg g
     	sell	e		S	pl p
1	1	0		N	?
palgi	palk	0		S	sg g
ja	ja	0		J	
kahe	kaks	0		N	sg g
luki	####				
	#lukk	0		S	sg g
vargusse	vargus	se		S	adt
	£vargus	0		S	sg g
pärast	pära	st		S	sg el
      	pärane	t		A	sg p
      	pärast	0		D	
      	@pärast	0		K	
süidlaseks	####				
	#süüdlane	ks		S	sg tr
arvata	@arva	ta		V	da
      	arva	ta		V	ta
      	arvata	0		D	
oleks	ole	ks		V	ks
,	,			Z	
ning	ning	0		J	
selle	@see	0		P	sg g
     	sell	e		S	pl p
üle	üle	0		D	
   	@üle	0		K	
kui	kui	0		D	
   	@kui	0		J	
need	see	d		P	pl n
2	2	0		N	?
lukki	####				
	#lukk	0		S	sg p
ka	ka	0		D	
sel	@see	l		P	sg ad
   	sel	0		Y	?
3	3	0		N	?
süllatse	####				
	#süllane	0		A	sg g
palgi	palk	0		S	sg g
otsa	ots	0		S	adt
    	ots	0		S	sg g
    	otsa	0		D	
    	@otsa	0		K	
    	otsa	0		V	o
    	ots	0		S	sg p
arvatud	@arva	tud		V	tud
       	arva=tu	d		S	pl n
       	arva=tud	0		A	
       	arva=tud	0		A	sg n
       	arva=tud	d		A	pl n
saavad	@saa	vad		V	vad
      	saav	d		A	pl n
      	saav	d		S	pl n
,	,			Z	
siis	@siis	0		D	
    	siis	0		J	
ühe	@üks	0		N	sg g
   	üks	0		P	sg g
   	ühe	0		S	sg n
4	4	0		N	?
sülda	süld	0		S	adt
     	@süld	0		S	sg p
pikka	pikk	0		A	adt
     	pikk	0		A	sg p
     	pikka	0		D	
	£pikk	0		A	sg g
palgi	palk	0		S	sg g
eest	eest	0		D	
    	@eest	0		K	
    	esi	st		S	sg el
,	,			Z	
mõisavalitsusele	mõisa_valitsus	le		S	sg all
1	1	0		N	?
rubla	rubla	0		S	sg g
     	@rubla	0		S	sg n
     	rubla	0		S	sg p
95	95	0		N	?
kop	kop	0		Y	?
kahjo	####				
	#kahju	0		S	sg g
tasumist	tasumine	t		S	sg p
,	,			Z	
ning	ning	0		J	
3	3	0		N	?
rubla	rubla	0		S	sg g
     	rubla	0		S	sg n
     	@rubla	0		S	sg p
90	90	0		N	?
kop	kop	0		Y	?
varguse	vargus	0		S	sg g
trahvi	trahv	0		S	adt
      	trahv	0		S	sg g
      	trahvi	0		V	o
      	@trahv	0		S	sg p
valla	@vald	0		S	sg g
     	valla	0		D	
vaeste	vaene	te		A	pl g
      	@vaene	te		S	pl g
laekasse	laegas	sse		S	sg ill
14	14	0		N	?
p	p	0		Y	?
.	.			Z	
s	s	0		Y	?
.	.			Z	
sest	@see	st		P	sg el
    	sest	0		J	
ots	ots	0		S	sg n
	£ots	0		Y	?
.	.			Z	
andm	####				
	#andm	0		Y	?
.	.			Z	
arvata	@arva	ta		V	da
      	arva	ta		V	ta
      	arvata	0		D	
maksaks	maks	ks		S	sg tr
       	@maks	ks		V	ks
"."""	"."""			Z	
Õ.	Õ.	0		Y	?
N.	N.	0		Y	?
See	see	0		P	sg n
otsus	otsus	0		S	sg n
sai	@saa	i		V	s
   	sai	0		S	sg n
kohto	####				
	#kohus	0		S	sg g
käiatel	####				
	#käija	tel		S	pl ad
kohe	kohe	0		A	sg n
    	@kohe	0		D	
avaldeletud	####				
	#avalda	tud		V	tud
,	,			Z	
ning	ning	0		J	
andis	and	is		V	s
mõisavalitsus	mõisa_valitsus	0		S	sg n
siin	@siin	0		D	
    	siin	0		S	sg n
üles	üles	0		D	
,	,			Z	
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
selle	@see	0		P	sg g
     	sell	e		S	pl p
otsusega	otsus	ga		S	sg kom
rahul	rahu	l		S	sg ad
     	@rahul	0		D	
ei	ei	0		D	
  	@ei	0		V	neg
ole	ole	0		V	o
ja	ja	0		J	
suuremad	suurem	d		C	pl n
kohut	kohus	t		S	sg p
palub	palu	b		V	b
käia	käi	0		S	adt
    	käi	0		S	sg g
    	@käi	a		V	da
    	käia	0		V	o
    	käi	0		S	sg p
,	,			Z	
mis	mis	0		P	pl n
   	@mis	0		P	sg n
mõisavalitsusele	mõisa_valitsus	le		S	sg all
ka	ka	0		D	
järele	@järele	0		D	
      	järele	0		K	
anti	and	ti		V	ti
,	,			Z	
ning	ning	0		J	
selle	@see	0		P	sg g
     	sell	e		S	pl p
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
mõisteti	mõist	ti		V	ti
Uue	uus	0		A	sg g
Suislepa	####				
	#Suislepa	0		H	sg g
mõisavalitsusele	mõisa_valitsus	le		S	sg all
appelatsiooni	####				
	#apellatsioon	0		S	sg p
anda	and	a		V	da
,	,			Z	
ning	ning	0		J	
eel	@eel	0		D	
   	eel	0		K	
   	esi	l		S	sg ad
seisvad	seisev	d		A	pl n
	£seisev	d		A	sg p
asja	asi	0		S	adt
    	asi	0		S	sg g
    	@asi	0		S	sg p
,	,			Z	
nenda	####				
	#nõnda	0		D	
kui	kui	0		D	
   	@kui	0		J	
sündinud	@sündi	nud		V	nud
        	sündinu	d		S	pl n
        	sündinud	0		A	
        	sündinud	0		A	sg n
        	sündinud	d		A	pl n
kirja	kirja	0		A	
     	kirja	0		V	o
     	@kiri	0		S	adt
     	kiri	0		S	sg g
     	kiri	0		S	sg p
panna	pand	0		S	sg g
     	@pane	a		V	da
     	panna	0		S	sg g
     	panna	0		S	sg n
.	.			Z	
